,seed5,seed10,seed15,seed20,seed25,avg,std
0,0.3615,0.3935,0.3388,0.3436,0.3704,0.36156,0.022016425686291592
1,0.4039,0.3483,0.2572,0.366,0.2629,0.32766,0.06493645355268488
2,0.2858,0.3448,0.3947,0.2976,0.3555,0.33568000000000003,0.04443384970942761
3,0.2608,0.3425,0.3996,0.3292,0.4009,0.34659999999999996,0.057962703525629315
