,Domain,Bert F1,Bert std,FRESH F1,FRESH std,LSTM F1,LSTM std,KUMA F1,KUMA std,SPECTRA F1,SPECTRA std
0,Full,0.613659500579893,0.013088405762244001,0.5871773218199,0.008427176324761,47.972330471390904,0.3584334136023,29.283046945276105,3.0922889832188,36.156,2.2016425686291496
1,SynD,0.60270573942644,0.006467274706339001,0.5650372584927731,0.0043322862918160005,39.1319235829338,1.2569947964623,29.283046945276105,3.0922889832188,32.766,6.49364535526848
2,AsyD1,0.592138715136427,0.013438617305346002,0.549515511496378,0.008025546854488001,43.3417637182808,1.4144845485819002,33.0962599320586,2.7890303891683,33.568,4.44338497094276
3,AsyD2,0.6097370480005221,0.006957016315588001,0.5846465233089401,0.007323419997765,43.163279844430804,1.8452848653197,33.3367657005934,3.4774831612171,34.65999999999999,5.79627035256293
