,Domain,BERT ACC,BERT ACC,FRESH ACC,FRESH std,LSTM ACC,LSTM std,KUMA ACC,KUMA std,SPECTRA F1,SPECTRA std
0,Full,0.6811475409836061,0.008720312769044001,0.6555035128805621,0.0056595063108170005,54.964871194379306,0.25493607795170004,46.89695550351281,2.4483990704796,36.156,2.2016425686291496
1,SynD,0.6338407494145191,0.006158404586559,0.602107728337236,0.004648579213414001,46.6276346604215,1.2030725563504001,40.7962529274004,1.2244235219831001,32.766,6.49364535526848
2,AsyD1,0.7389929742388751,0.006720536230576,0.6996487119437931,0.012611627182984001,60.1170960187353,2.5652848888781,46.4285714285714,1.582746650033,33.568,4.44338497094276
3,AsyD2,0.7427400468384071,0.008235105841928,0.716042154566744,0.010147570980465,58.92271662763461,2.5650710795021,46.229508196721305,2.2528738424011,34.65999999999999,5.79627035256293
