,mean-acc,std-acc,mean-f1,std-f1,mean-ece,std-ece,Domain
model,0.9178870925909911,0.0038527909644580005,0.696528871129467,0.012838221743596001,0.035678373956738,0.009252717354334,Full size
model,0.9201901880267991,0.001105264545761,0.708915742722488,0.009786155718407,0.031403584426954005,0.005781333694208001,InDomain
model,0.9199706060344081,0.000811736463684,0.704484676403324,0.008880902962376001,0.033358306004686006,0.004769885043808,OOD1
model,0.9140312959280711,0.0013408275280890002,0.71218748522064,0.009180127329011,0.034936234485858,0.004514410691576,OOD2
