,seed5,seed10,seed15,seed20,seed25,avg,std
0,0.2565,0.2428,0.2479,0.235,0.264,0.24924,0.011364550145078344
1,0.2301,0.2442,0.1264,0.2786,0.2188,0.21962,0.05675228629755809
2,0.1855,0.1364,0.08854,0.2911,0.1312,0.166548,0.07764665169857617
3,0.1797,0.2872,0.1009,0.259,0.203,0.20596,0.07271370572319913
