,AsyD1,AsyD2,Factors
0,0.007550011849837723,0.016531823443000526,Suff_diff
1,0.10682210804424752,0.05173138118553888,Comp_diff
0,3130.0,4029.0,temporal_distance
0,0.16475319348599515,0.18023348014252066,corpus_similarity
