,Domain,Bert F1,Bert std,FRESH F1,FRESH std,KUMA F1,KUMA std,LSTM F1,LSTM std
0,Full size,0.374447641796258,0.029010556975794,0.29926101696195,0.041683094955309,0.15565425114720602,0.005644475880024,0.354377520455165,0.015304634369931002
1,InDomain,0.382289088704925,0.024182638194412003,0.325006359412909,0.016692323246704003,0.14410594533902502,0.009001431178316002,0.34336051903151205,0.005101175768599001
2,OOD1,0.37437205597177503,0.017689322541963003,0.325632333023884,0.028213811219041002,0.15227588955359903,0.013320764958796001,0.316159778324323,0.029958719170679004
3,OOD2,0.381663401339467,0.017003664677463,0.30032152354455005,0.025581249661398003,0.145852255490237,0.014511803923583002,0.299956954083389,0.019477412696054002
