,AsyD1,AsyD2,Factors,Task
0,0.007550011849837723,0.016531823443000526,Suff_diff,xfact
1,0.10682210804424752,0.05173138118553888,Comp_diff,xfact
0,3130.0,4029.0,temporal_distance,xfact
0,0.0217202901840209,0.0180917512625455,corpus_similarity,xfact
0,109.4954356846473,103.22655601659751,text avg length,xfact
