,scaled attention,attention,deeplift,gradients,lime,ig,deepliftshap,gradientshap,scaled attention,attention,deeplift,gradients,lime,ig,deepliftshap,gradientshap
Full,1.2371211455069167,1.1179615980929527,0.875257672452948,1.143149625550432,1.0392450363771928,1.1458395441259475,0.9463803758313836,0.9805218971709055,1.6740747881101778,1.4008711053299727,1.1236607976870356,1.3474643291911668,1.0555397186953774,1.3720494848079818,1.0012414319646563,0.9787570390549171
SynD,1.1585126709631812,1.0206141288629367,0.9053559940152109,1.0239901563666522,1.0313550953606985,1.0327476302193277,0.9254788523908192,0.9497249488669058,1.635055332415765,1.0238956249650746,1.0391025662347917,1.2152973060879662,1.050826590667103,1.1859956653635289,0.8955918545178169,0.9599815569509452
AsyD1,1.1509626591133435,0.9880578764531507,0.977279344576521,1.028536536370886,1.0281589584462798,1.0448696773116743,0.9480874734298876,0.9533813968738347,1.7418774404600126,1.0296775462792402,1.0843929686969243,1.263634683170838,1.0587730581544912,1.237799882804649,1.040616760987484,1.000889224735717
AsyD2,1.1419808475201807,0.9783203498726508,0.96495259623978,1.0161144059316163,1.0254165718570536,1.022495373408704,0.9369678133696457,0.9460513475523922,1.5833239512302262,0.9248365266306918,1.0014385048981824,1.147419839828325,1.0071571944651179,1.0992875914442017,0.9348901578247382,0.9189537664646653
AsyD1+2,1.146471753316762,0.9831891131629007,0.9711159704081505,1.0223254711512513,1.0267877651516666,1.0336825253601891,0.9425276433997667,0.9497163722131134,1.6626006958451194,0.977257036454966,1.0429157367975534,1.2055272614995816,1.0329651263098045,1.1685437371244254,0.987753459406111,0.9599214956001911
