,Similarity,Representations,Measure,Rep_Mea,Domain,attribute_name,threshold
63,0.02896934760073855,Term distribution,euclidean,Term euclidean,OOD2,lime,topk
64,0.7144100442288487,Term distribution,variational,Term variational,OOD2,lime,topk
65,0.2818527613896999,Term distribution,bhattacharyya,Term bhattacharyya,OOD2,lime,topk
66,0.004134601913392544,Topic distribution,jensen-shannon,Topic jensen-shannon,OOD2,lime,topk
67,0.016009223676268225,Topic distribution,renyi,Topic renyi,OOD2,lime,topk
68,0.017226576805114746,Topic distribution,cosine,Topic cosine,OOD2,lime,topk
69,0.0292318585399994,Topic distribution,euclidean,Topic euclidean,OOD2,lime,topk
70,0.14893309772014618,Topic distribution,variational,Topic variational,OOD2,lime,topk
71,0.004147954750806093,Topic distribution,bhattacharyya,Topic bhattacharyya,OOD2,lime,topk
72,0.10749715728648518,Term distribution,jensen-shannon,Term jensen-shannon,In Domain(Baseline),deeplift,topk
73,18.009443291124494,Term distribution,renyi,Term renyi,In Domain(Baseline),deeplift,topk
74,0.011289817562282978,Term distribution,cosine,Term cosine,In Domain(Baseline),deeplift,topk
75,0.022314382670112543,Term distribution,euclidean,Term euclidean,In Domain(Baseline),deeplift,topk
76,0.4970663399623244,Term distribution,variational,Term variational,In Domain(Baseline),deeplift,topk
77,0.15687988676325412,Term distribution,bhattacharyya,Term bhattacharyya,In Domain(Baseline),deeplift,topk
78,0.00412051472812891,Topic distribution,jensen-shannon,Topic jensen-shannon,In Domain(Baseline),deeplift,topk
79,0.01592788604445327,Topic distribution,renyi,Topic renyi,In Domain(Baseline),deeplift,topk
80,0.012833893299102783,Topic distribution,cosine,Topic cosine,In Domain(Baseline),deeplift,topk
81,0.03098974826571841,Topic distribution,euclidean,Topic euclidean,In Domain(Baseline),deeplift,topk
82,0.15376369655132294,Topic distribution,variational,Topic variational,In Domain(Baseline),deeplift,topk
83,0.00413430854678154,Topic distribution,bhattacharyya,Topic bhattacharyya,In Domain(Baseline),deeplift,topk
84,0.11008527844993596,Term distribution,jensen-shannon,Term jensen-shannon,OOD1,deeplift,topk
85,18.856115957459476,Term distribution,renyi,Term renyi,OOD1,deeplift,topk
86,0.00918177586164104,Term distribution,cosine,Term cosine,OOD1,deeplift,topk
87,0.02231132603372012,Term distribution,euclidean,Term euclidean,OOD1,deeplift,topk
88,0.4994745560813878,Term distribution,variational,Term variational,OOD1,deeplift,topk
89,0.1620833041308915,Term distribution,bhattacharyya,Term bhattacharyya,OOD1,deeplift,topk
90,0.002774137072265148,Topic distribution,jensen-shannon,Topic jensen-shannon,OOD1,deeplift,topk
91,0.010696225140311249,Topic distribution,renyi,Topic renyi,OOD1,deeplift,topk
92,0.006858527660369873,Topic distribution,cosine,Topic cosine,OOD1,deeplift,topk
93,0.024512785078196785,Topic distribution,euclidean,Topic euclidean,OOD1,deeplift,topk
94,0.1285776048898697,Topic distribution,variational,Topic variational,OOD1,deeplift,topk
95,0.002778153633698821,Topic distribution,bhattacharyya,Topic bhattacharyya,OOD1,deeplift,topk
