,seed5,seed10,seed15,seed20,seed25,avg,std
0,0.8303,0.8298,0.8348,0.8371,0.8286,0.83212,0.003642389325703645
1,0.7977,0.8122,0.8044,0.7945,0.811,0.80396,0.007847483673127362
2,0.7583,0.7989,0.795,0.7744,0.7899,0.7833,0.016793004495920354
3,0.7469,0.7903,0.7909,0.7732,0.786,0.77746,0.01851007833586882
