,Domain,BERT F1,BERT std,FRESH F1,FRESH std,LSTM F1,LSTM std,KUMA F1,KUMA std,KUMA Len,SPECTRA F1,SPECTRA std
0,Full,90.823276003224,0.2501723004924,90.09635299400921,0.11223745805930001,86.8416766968318,0.08724981085160001,85.00687696977911,0.3984103746818,23.229924111092586,83.212,0.36423893257036
1,SynD,89.1472038381489,0.5468678806846001,87.0113995855643,0.5634232223911,84.4038491845625,0.1171253112276,81.8791361926484,1.0751136802623,39.0923330681829,80.396,0.7847483673127299
2,AsyD1,87.4631284404503,0.6572831048340001,84.57201998546061,0.7661862231555,82.3851978340239,0.5043506491312,79.07053653361871,1.7283298317682,36.8077183196965,78.33,1.67930044959203
3,AsyD2,85.54671901224481,0.4710645364709,83.3421586985969,0.33880759953190004,79.43657101844181,0.62502196933,77.3546307122801,1.4544405634730002,37.01655484370112,77.74600000000001,1.85100783358688
