,Rationales_metrics,random,gradients,deeplift,ig,gradientshap,scaled attention,deepliftshap,attention,lime,Domain,thresholder,mean-f1,Task
0,Sufficiency,0.298834417310301,0.462646215026079,0.281994791958307,0.465677605918538,0.292178143220227,0.614925121422737,0.296258183524032,0.496053690048024,0.301071792433034,Full size,topk,0.90823276003224,Agnews
1,Comprehensiveness,0.127835929377278,0.295453121529757,0.194612658177777,0.301273422036989,0.129579688955191,0.386833856389546,0.138019493118415,0.337137145670036,0.176212776204201,Full size,topk,0.90823276003224,Agnews
2,AOPC_sufficiency,0.276482978789622,0.362188831288553,0.276124026483446,0.366009997574735,0.2761946882835,0.423916687707486,0.287625903907141,0.369253498631358,0.27359453829019,Full size,topk,0.90823276003224,Agnews
3,AOPC_comprehensiveness,0.125633184818857,0.234860337686509,0.154425044801066,0.236138123272675,0.120732978027148,0.304097642806255,0.122529114266867,0.262650836333704,0.150615034888344,Full size,topk,0.90823276003224,Agnews
4,Sufficiency,0.298834417310301,0.462646215026079,0.281994791958307,0.465677605918538,0.292178143220227,0.614925121422737,0.296258183524032,0.496053690048024,0.301071792433034,Full size,contigious,0.90823276003224,Agnews
5,Comprehensiveness,0.127835929377278,0.295453121529757,0.194612658177777,0.301273422036989,0.129579688955191,0.386833856389546,0.138019493118415,0.337137145670036,0.176212776204201,Full size,contigious,0.90823276003224,Agnews
6,AOPC_sufficiency,0.276482978789622,0.362188831288553,0.276124026483446,0.366009997574735,0.2761946882835,0.423916687707486,0.287625903907141,0.369253498631358,0.27359453829019,Full size,contigious,0.90823276003224,Agnews
7,AOPC_comprehensiveness,0.125633184818857,0.234860337686509,0.154425044801066,0.236138123272675,0.120732978027148,0.304097642806255,0.122529114266867,0.262650836333704,0.150615034888344,Full size,contigious,0.90823276003224,Agnews
8,Sufficiency,0.351365707362213,0.5283650865692251,0.301582684025386,0.522034665883301,0.335055009757676,0.638998453976198,0.331832254748295,0.582029030596366,0.350402776948343,SynD,topk,0.891472038381489,Agnews
9,Comprehensiveness,0.108356038291021,0.245066301995327,0.141548539804944,0.246915950708419,0.115785780877713,0.39135604038312,0.114427515299286,0.275073847216681,0.150521519548029,SynD,topk,0.891472038381489,Agnews
10,AOPC_sufficiency,0.291843274364419,0.38608605998719,0.271173519260981,0.382677511807361,0.28283875111625,0.441135563393195,0.285501009436743,0.397376964484879,0.287218231887758,SynD,topk,0.891472038381489,Agnews
11,AOPC_comprehensiveness,0.1013754932485,0.202928820349897,0.137797245603711,0.200122432582048,0.104006604943413,0.298627444646799,0.102239228167796,0.220555464462631,0.123308624297073,SynD,topk,0.891472038381489,Agnews
12,Sufficiency,0.351365707362213,0.5283650865692251,0.301582684025386,0.522034665883301,0.335055009757676,0.638998453976198,0.331832254748295,0.582029030596366,0.350402776948343,SynD,contigious,0.891472038381489,Agnews
13,Comprehensiveness,0.108356038291021,0.245066301995327,0.141548539804944,0.246915950708419,0.115785780877713,0.39135604038312,0.114427515299286,0.275073847216681,0.150521519548029,SynD,contigious,0.891472038381489,Agnews
14,AOPC_sufficiency,0.291843274364419,0.38608605998719,0.271173519260981,0.382677511807361,0.28283875111625,0.441135563393195,0.285501009436743,0.397376964484879,0.287218231887758,SynD,contigious,0.891472038381489,Agnews
15,AOPC_comprehensiveness,0.1013754932485,0.202928820349897,0.137797245603711,0.200122432582048,0.104006604943413,0.298627444646799,0.102239228167796,0.220555464462631,0.123308624297073,SynD,contigious,0.891472038381489,Agnews
16,Sufficiency,0.416427346866746,0.585446065431493,0.392691069255937,0.5992661396997361,0.406544844073803,0.6929515456305061,0.428412574684073,0.6516045863874811,0.458601161872524,AsyD1,topk,0.8746312844045031,Agnews
17,Comprehensiveness,0.143251878617953,0.302057872457163,0.206162641575002,0.307971821378398,0.148015742379933,0.490627031070279,0.155278827587418,0.408171933441791,0.230576608132533,AsyD1,topk,0.8746312844045031,Agnews
18,AOPC_sufficiency,0.323758772419069,0.417731799138901,0.312447344027088,0.417912156488067,0.315498410091258,0.480230994952854,0.329721553853371,0.443284610955662,0.343831052594777,AsyD1,topk,0.8746312844045031,Agnews
19,AOPC_comprehensiveness,0.118281991883227,0.236559813646908,0.160649791394199,0.23270510233599,0.119741486516781,0.350674220903774,0.122209071810727,0.277802117076233,0.168899768758533,AsyD1,topk,0.8746312844045031,Agnews
20,Sufficiency,0.416427346866746,0.585446065431493,0.392691069255937,0.5992661396997361,0.406544844073803,0.6929515456305061,0.428412574684073,0.6516045863874811,0.458601161872524,AsyD1,contigious,0.8746312844045031,Agnews
21,Comprehensiveness,0.143251878617953,0.302057872457163,0.206162641575002,0.307971821378398,0.148015742379933,0.490627031070279,0.155278827587418,0.408171933441791,0.230576608132533,AsyD1,contigious,0.8746312844045031,Agnews
22,AOPC_sufficiency,0.323758772419069,0.417731799138901,0.312447344027088,0.417912156488067,0.315498410091258,0.480230994952854,0.329721553853371,0.443284610955662,0.343831052594777,AsyD1,contigious,0.8746312844045031,Agnews
