,scaled attention,attention,deeplift,gradients,lime,ig,deepliftshap,gradientshap,scaled attention,attention,deeplift,gradients,lime,ig,deepliftshap,gradientshap
Full,1.5332469635682253,1.335537906340071,0.998701720056159,1.309985999406297,0.9895529174632127,1.3238066197674858,1.040302391005407,0.9989572938363726,2.4205200500545714,2.090616716533968,1.2291740038567218,1.8694132288785013,1.1988475425939957,1.8795839937763934,0.9752925904372671,0.9609959199969791
InDomain,1.5115495272382313,1.3616108349602811,0.929175153518775,1.3229225885983305,0.9841523074782741,1.311243209701379,0.9782682505139503,0.9691460313149953,2.9457557746701037,2.175629014420548,1.359275710411894,2.001754209495791,1.216355357155291,1.974071110968519,1.0085201550356826,1.0259541197837962
OOD1,1.483298788677298,1.369181775812642,0.9650621717290809,1.2902563103315532,1.061997641100908,1.2908133835741356,1.0184173586703122,0.9744860586599985,2.9647304320844925,2.348642533433923,1.3581931521139692,1.9999647442566733,1.4279415325139098,1.9673755795871812,1.0332009958995025,1.0123391110541569
OOD2,1.4883536322516935,1.4005460655457178,0.9741514739232501,1.261501021290299,1.024041333200362,1.2516362631004159,1.0195943752472656,0.9720058132794356,3.0840139861829883,2.5130055622497296,1.4102300544849264,2.037393748202544,1.3786026124972541,1.9869865061156327,1.0210320487262647,1.0216718907188806
OOD1+2,1.4858262104644957,1.38486392067918,0.9696068228261655,1.275878665810926,1.043019487150635,1.2712248233372758,1.019005866958789,0.973245935969717,3.02437220913374,2.4308240478418264,1.3842116032994478,2.018679246229609,1.4032720725055818,1.977181042851407,1.0271165223128835,1.0170055008865186
