,Domain,Bert F1,Bert std
0,Full,0.90823276003224,0.0025017230049240004
1,SynD,0.891472038381489,0.005468678806846001
2,AsyD1,0.8746312844045031,0.006572831048340001
3,AsyD2,0.8554671901224481,0.004710645364709
