,Domain,Bert F1,Bert std,FRESH F1,FRESH std,KUMA F1,KUMA std,LSTM F1,LSTM std
0,Full,0.8305339284144031,0.013886467063259002,0.8064020772293481,0.030143888001982002,0.516957839584268,0.086116932182938,0.6856452955567041,0.0407501122081
1,InDomain,0.8596447296380261,0.015520697811465001,0.857944423500349,0.012619010260645,0.501779788672103,0.034546873156961005,0.7655955250959211,0.008718207883296001
2,OOD1,0.8336294607900521,0.013021921528552001,0.802235973640772,0.0065427421939190005,0.46523433072423703,0.045342656443596,0.7159877827221021,0.011672339214549
3,OOD2,0.8274850599601821,0.024919584139137002,0.756045584368859,0.017786130854248003,0.46701667443550504,0.045882503196070006,0.73611608406421,0.028972937073896
