,mean-acc,std-acc,mean-f1,std-f1,mean-ece,std-ece,domain,attribute_name,threshold
0,0.7477611940298501,0.015036896775828002,0.721804724503403,0.026313023288398,0.087667587621888,0.013719068152547,InDomain,attention,topk
1,0.8179775280898871,0.017820789892689003,0.707159209072716,0.006484834110301,0.054436977347184,0.016428851603214,OOD1,attention,topk
2,0.7925093632958801,0.014716766070702,0.654497588845514,0.019342317097314002,0.08055497354336,0.020086819933708002,OOD2,attention,topk
0,0.7574626865671641,0.006243731541299,0.738193818793461,0.010446161371862,0.05945967738308101,0.006095567994971,InDomain,gradients,topk
1,0.8179775280898871,0.017820789892689003,0.707159209072716,0.006484834110301,0.054436977347184,0.016428851603214,OOD1,gradients,topk
2,0.7925093632958801,0.014716766070702,0.654497588845514,0.019342317097314002,0.08055497354336,0.020086819933708002,OOD2,gradients,topk
0,0.6992537313432831,0.041857622872776,0.621277086112849,0.125934685144263,0.054849114480303,0.018302557165262003,InDomain,lime,topk
1,0.8179775280898871,0.017820789892689003,0.707159209072716,0.006484834110301,0.054436977347184,0.016428851603214,OOD1,lime,topk
2,0.7925093632958801,0.014716766070702,0.654497588845514,0.019342317097314002,0.08055497354336,0.020086819933708002,OOD2,lime,topk
0,0.854477611940298,0.010286603546335002,0.8428180381604591,0.012666653671498001,0.05152051328723101,0.009181386763734001,InDomain,deeplift,topk
1,0.8179775280898871,0.017820789892689003,0.707159209072716,0.006484834110301,0.054436977347184,0.016428851603214,OOD1,deeplift,topk
2,0.7925093632958801,0.014716766070702,0.654497588845514,0.019342317097314002,0.08055497354336,0.020086819933708002,OOD2,deeplift,topk
0,0.8597014925373131,0.006062715227340001,0.853169977973784,0.005153961865138001,0.061239324932667004,0.006191572693361001,InDomain,scaled_attention,topk
1,0.8179775280898871,0.017820789892689003,0.707159209072716,0.006484834110301,0.054436977347184,0.016428851603214,OOD1,scaled_attention,topk
2,0.7925093632958801,0.014716766070702,0.654497588845514,0.019342317097314002,0.08055497354336,0.020086819933708002,OOD2,scaled_attention,topk
0,0.703731343283582,0.039601490034094,0.629094108178723,0.12241325756803301,0.069294314553488,0.030534380660976003,InDomain,attention,contigious
1,0.8179775280898871,0.017820789892689003,0.707159209072716,0.006484834110301,0.054436977347184,0.016428851603214,OOD1,attention,contigious
2,0.7925093632958801,0.014716766070702,0.654497588845514,0.019342317097314002,0.08055497354336,0.020086819933708002,OOD2,attention,contigious
0,0.7583955223880591,0.011613712311556001,0.741217650179493,0.017515694961856003,0.057922886156324,0.038383647955614004,InDomain,gradients,contigious
1,0.8179775280898871,0.017820789892689003,0.707159209072716,0.006484834110301,0.054436977347184,0.016428851603214,OOD1,gradients,contigious
2,0.7925093632958801,0.014716766070702,0.654497588845514,0.019342317097314002,0.08055497354336,0.020086819933708002,OOD2,gradients,contigious
0,0.6723880597014921,0.033072417621134005,0.630319435434743,0.037704112528852,0.08501613713912101,0.018973005246262,InDomain,lime,contigious
1,0.8179775280898871,0.017820789892689003,0.707159209072716,0.006484834110301,0.054436977347184,0.016428851603214,OOD1,lime,contigious
2,0.7925093632958801,0.014716766070702,0.654497588845514,0.019342317097314002,0.08055497354336,0.020086819933708002,OOD2,lime,contigious
0,0.8298507462686561,0.009017198487757,0.818112261040938,0.010774863713331001,0.033283500351122,0.009579472130571,InDomain,deeplift,contigious
1,0.8179775280898871,0.017820789892689003,0.707159209072716,0.006484834110301,0.054436977347184,0.016428851603214,OOD1,deeplift,contigious
2,0.7925093632958801,0.014716766070702,0.654497588845514,0.019342317097314002,0.08055497354336,0.020086819933708002,OOD2,deeplift,contigious
0,0.8246268656716411,0.034333765526970005,0.8162652212872741,0.030134627562372004,0.055159182987402,0.009837110106231001,InDomain,scaled_attention,contigious
1,0.8179775280898871,0.017820789892689003,0.707159209072716,0.006484834110301,0.054436977347184,0.016428851603214,OOD1,scaled_attention,contigious
2,0.7925093632958801,0.014716766070702,0.654497588845514,0.019342317097314002,0.08055497354336,0.020086819933708002,OOD2,scaled_attention,contigious
