,mean-acc,std-acc,mean-f1,std-f1,mean-ece,std-ece,Domain
model,0.9261245549015331,0.0022254322693280003,0.708558691300715,0.009435387852935,0.042934954257372,0.0032681523616520003,Full size
model,0.9274233396308671,0.0017301934212840002,0.6899026983052801,0.010420741244789,0.035988988322048006,0.004480993387068,SynD
model,0.915921808008138,0.0015243206862430002,0.6765976845217171,0.007876920696156,0.045566044160597,0.004109734337472,AsyD1
model,0.9198750090836421,0.001048653673863,0.679396437245491,0.012949805710559,0.04234917986645,0.005240878419466,AsyD2
