,Domain,Bert F1,Bert std,FRESH F1,FRESH std,LSTM F1,LSTM std,KUMA F1,KUMA std,SPECTRA F1,SPECTRA std
0,Full,0.708558691300715,0.009435387852935,0.6615195165479111,0.004977163551561001,67.49797878403191,0.36524607068360004,64.3768493902638,0.3886648485415,58.07599999999999,0.49997999959998
1,SynD,0.69633613354387,0.014841867084255,0.63401051689925,0.013654713196512002,67.35433928282461,0.5992385624643001,64.3768493902638,0.3886648485415,48.882,1.4125048672482499
2,AsyD1,0.682110410331037,0.013610062765947001,0.627522597495322,0.00716126659913,66.36518844900561,0.36871898753640003,68.8480831897056,1.1342583666376,49.954,1.06772187389787
3,AsyD2,0.681164912415819,0.024879630208647002,0.615434820384367,0.008143203576655001,67.0381143100825,0.9330721669152001,68.5693665351356,1.3198042370303,51.516000000000005,0.97276924293482
