,seed5,seed10,seed15,seed20,seed25,avg,std
0,0.5845,0.5753,0.5762,0.5811,0.5867,0.5807599999999999,0.0049997999959998235
1,0.5131,0.4795,0.4894,0.4816,0.4805,0.48882000000000003,0.014125048672482522
2,0.496,0.502,0.4981,0.4861,0.5155,0.49954,0.010677218738978792
3,0.5124,0.5107,0.5183,0.5043,0.5301,0.5151600000000001,0.009727692429348298
