,mean-acc,std-acc,mean-f1,std-f1,mean-ece,std-ece,Domain,Model
model,0.9122302158273381,0.001276497057629,0.643768493902638,0.0038866484854150002,0.011477058190747002,0.0053997728033,Full data,Kuma
model,0.9119314053189941,0.002969454547551,0.6354504198199971,0.010026069183113,0.010570203598338001,0.004512103318975,InDomain,Kuma
model,0.9002543419809601,0.00294309109389,0.626974453204008,0.008855553342137001,0.016289822834884,0.005525691111763,OOD1,Kuma
model,0.9036552576120921,0.0025504279169940003,0.6267489093607961,0.010756797765212002,0.015586754038846,0.005972890614307001,OOD2,Kuma
model,0.9170554465518491,0.0029904387529070004,0.6749797878403191,0.0036524607068360005,0.012155913462447002,0.0034217010669040002,Full data,LSTM
model,0.9194157825897391,0.002822876281894,0.673543392828246,0.005992385624643001,0.010488735802678001,0.004102816647737,InDomain,LSTM
model,0.9074776542402441,0.00385390409646,0.6636518844900561,0.0036871898753640005,0.014476496169199,0.007909281994501001,OOD1,LSTM
model,0.9121866143448871,0.002311564026111,0.6703811431008251,0.009330721669152001,0.012546028368227002,0.005543863539063,OOD2,LSTM
