,Domain,Bert F1,Bert std,FRESH F1,FRESH std,LSTM F1,LSTM std,KUMA F1,KUMA std,SPECTRA F1,SPECTRA std
0,Full,0.7143203590439791,0.016386584944976003,0.662396883403081,0.007707223295177001,66.83094626231201,0.8474905848252001,64.8559222430685,1.6756614128461003,48.69199999999999,1.43053136980633
1,SynD,0.6930029859848721,0.025281388595045,0.6470160749645071,0.009527288947465,66.3565694123825,0.9732550742116,64.8559222430685,1.6756614128461003,42.988,2.88750238095139
2,AsyD1,0.637387239823433,0.014937577071674,0.526245883109233,0.005266769625785,59.0933959716964,0.8867389586446001,70.6825083619807,3.5040835819639002,37.55,3.60882252265195
3,AsyD2,0.5821498445340241,0.011358143443083,0.49641896237328303,0.016066538370501,54.402793742602206,1.1524794936303,69.20103716282262,4.692108434934,39.036,3.5661856373441903
