,scaled attention,attention,deeplift,gradients,lime,ig,deepliftshap,gradientshap,scaled attention,attention,deeplift,gradients,lime,ig,deepliftshap,gradientshap
Full,3.193186706005734,2.9723196021984255,1.8127565792738154,1.8906504645354043,0.5776821772500301,1.958943975121827,1.4498983341424079,1.0670479524317036,1.6050430287019186,1.452301434800235,1.1573844725201632,1.2119312177059485,0.6314167828178727,1.1860565785725419,1.0309417577580786,1.1293174653661657
InDomain,1.3138213907355316,1.2467710813853434,0.5124935442375186,0.8314927237637736,0.5516462309215829,0.7089107974095274,0.952521071448364,0.7748314026640745,2.7103666105303605,1.9260725401976313,1.5451734858689328,1.7645730091942162,1.0783826158776488,2.1108173783418134,0.9161008033516858,1.1870158422738157
OOD1,1.1939231728448283,1.1494578749702522,0.4753900926655376,0.8379051068173322,0.5691943937917263,0.7369042384264086,0.9288449284562872,0.8082595656808172,2.631261111343525,1.7446230916812564,1.2252378870247418,1.8198067413654473,1.0946992528777668,2.280713322707029,0.7965712596421782,1.1914197713332304
OOD2,1.1641565517921675,1.1352546608934109,0.4873538511392365,0.8441432942931105,0.577042993540392,0.7401956986678476,0.9395751141338095,0.8178897601395253,2.5247136097116596,1.6301354930777294,1.1030377600108607,1.72629840361422,1.0547326993011217,2.1439692684825995,0.7536164522468434,1.176111496212734
OOD1+2,1.1790398623184979,1.1423562679318315,0.48137197190238706,0.8410242005552213,0.5731186936660592,0.7385499685471282,0.9342100212950484,0.8130746629101713,2.577987360527592,1.687379292379493,1.1641378235178013,1.7730525724898336,1.0747159760894442,2.2123412955948143,0.7750938559445109,1.1837656337729823
