,AsyD1,AsyD2,Factors,Task
0,0.11989821789070332,0.1496648389433639,Suff_diff,AmazDigiMu
1,0.07910549918683563,0.1856530008187005,Comp_diff,AmazDigiMu
0,1553.0,2277.0,temporal_distance,AmazDigiMu
0,2.667745036193565,2.9963249454595,corpus_similarity,AmazDigiMu
0,113.24501827614668,80.27697205518217,text avg length,AmazDigiMu
