,Unnamed: 0,Domain,BERT F1,BERT std,FRESH F1,FRESH std,LSTM F1,LSTM std,KUMA F1,KUMA std,KUMA Len,SPECTRA F1,SPECTRA std,Task
0,0,Full,90.823276003224,0.2501723004924,90.0963529940092,0.1122374580593,86.8416766968318,0.0872498108516,85.00687696977911,0.3984103746818,23.229924111092583,83.212,0.36423893257036,agnews
1,1,SynD,89.1472038381489,0.5468678806846001,87.0113995855643,0.5634232223911,84.4038491845625,0.1171253112276,81.8791361926484,1.0751136802623,39.0923330681829,80.396,0.7847483673127299,agnews
2,2,AsyD1,87.4631284404503,0.6572831048340001,84.57201998546061,0.7661862231555,82.3851978340239,0.5043506491312,79.07053653361871,1.7283298317682,36.8077183196965,78.33,1.67930044959203,agnews
3,3,AsyD2,85.54671901224481,0.4710645364709,83.3421586985969,0.3388075995319,79.43657101844181,0.62502196933,77.3546307122801,1.4544405634730002,37.01655484370112,77.74600000000001,1.85100783358688,agnews
0,0,Full,37.4447641796258,2.9010556975794,29.926101696195,4.168309495530901,35.437752045516504,1.5304634369931005,11.6697530235309,1.8186222354426,41.08155441283934,24.924,1.13645501450783,xfact
1,1,SynD,38.2289088704925,2.4182638194412003,32.5006359412909,1.6692323246704004,34.3360519031512,0.5101175768599001,9.8729806387964,0.0,43.59258822604005,21.962,5.6752286297558,xfact
2,2,AsyD1,37.4372055971775,1.7689322541963002,32.5632333023884,2.8213811219041003,31.6159778324323,2.9958719170679005,12.7161221067836,0.0,42.532821509895626,16.6548,7.76466516985761,xfact
3,3,AsyD2,38.166340133946704,1.7003664677463,30.032152354455004,2.5581249661398004,29.9956954083389,1.9477412696054,12.543830270923,0.0,41.62355122200444,20.596,7.27137057231991,xfact
0,0,Full,74.41904566095,3.209295741399,77.1093864638772,0.4284999857736,62.3906352942153,2.8917902753397,47.2007345828817,1.7494131407827,53.92557288601972,50.668,5.30580059934408,factcheck
1,1,SynD,71.06949635493251,1.8522744656805,71.81524368971071,0.2346425063782,55.59913747465111,3.1905303673665,47.305052023144405,2.7435066240719,78.48348850599972,50.540000000000006,6.51115581137481,factcheck
2,2,AsyD1,70.64565127728581,2.7055135334885003,72.13067021974311,0.0371575884193,51.6818876355168,2.8099801573696,45.17038294437671,2.8991298768537,78.94915645067135,45.45199999999999,4.230640613429601,factcheck
3,3,AsyD2,73.5292740558182,1.6968216851146003,74.24334015806771,0.1288409093903,49.8310266846915,3.5993558357482005,41.9174969899802,2.2921371661091,78.9786511098405,43.16599999999999,6.43093150328939,factcheck
0,0,Full,71.4320359043979,1.6386584944976004,66.2396883403081,0.7707223295177001,66.83094626231201,0.8474905848252001,64.8559222430685,1.6756614128461005,18.97364212595428,48.69199999999999,1.43053136980633,AmazDigiMu
1,1,SynD,69.3002985984872,2.5281388595045,64.32900159493671,0.8728889829563,66.3565694123825,0.9732550742116,65.8295076029772,1.6499011742737002,18.15489058250363,42.988,2.88750238095139,AmazDigiMu
2,2,AsyD1,63.7387239823433,1.4937577071674,53.1726939388378,0.5932650055018001,59.0933959716964,0.8867389586446001,56.91581820129661,1.2710751175814,18.68101948233923,37.55,3.60882252265195,AmazDigiMu
3,3,AsyD2,58.21498445340241,1.1358143443083,49.97876896518461,0.8560553082639,54.402793742602206,1.1524794936303,52.0933300831658,1.1857334873332002,18.63810255262759,39.036,3.5661856373441903,AmazDigiMu
0,0,Full,71.03060842741621,0.5285163593227,66.1519516547911,0.4977163551561001,67.49797878403191,0.3652460706836,64.3768493902638,0.3886648485415,18.406501234706344,58.07599999999999,0.49997999959998,AmazPantry
1,1,SynD,69.63361335438701,1.4841867084255,62.226329149148704,0.9879598999125,67.35433928282461,0.5992385624643001,63.5450419819997,1.0026069183113,17.9397784351449,48.882,1.41250486724825,AmazPantry
2,2,AsyD1,68.2110410331037,1.3610062765947002,58.876670779572,0.9212675274286,66.36518844900561,0.3687189875364,62.6974453204008,0.8855553342137001,18.73893303182015,49.954,1.06772187389787,AmazPantry
3,3,AsyD2,68.1164912415819,2.4879630208647003,57.8349730322391,0.8883417389062,67.0381143100825,0.9330721669152,62.674890936079606,1.0756797765212,19.61255704687666,51.516000000000005,0.97276924293482,AmazPantry
0,0,Full,61.3659500579893,1.3088405762244002,58.71773218199,0.8427176324761001,47.9723304713909,0.3584334136023,28.783607689290104,1.6259388361512,11.6726739323816,36.156,2.2016425686291496,yelp
1,1,SynD,60.270573942644,0.6467274706339,56.50372584927731,0.4332286291816,39.1319235829338,1.2569947964623,19.4189482073529,0.4842576761521,11.298922148216803,32.766,6.49364535526848,yelp
2,2,AsyD1,59.2138715136427,1.3438617305346,54.9515511496378,0.8025546854488,43.3417637182808,1.4144845485819002,20.076765530185703,0.4098169931611,14.860029009473289,33.568,4.44338497094276,yelp
3,3,AsyD2,60.97370480005221,0.6957016315588,58.464652330894005,0.7323419997765,43.1632798444308,1.8452848653197,20.016222504076904,0.7993123976216,14.959924901186096,34.65999999999999,5.79627035256293,yelp
