,Unnamed: 0,Suff Diff,Comp Diff,Temp Diff,Corp Diff,Text Len,Task,Sent Div
0,AsyD1,0.0282507385609331,0.0189746574143883,1271.0,0.0108342319726943,437.7239794827954,agnews,0.0010412341862129847
1,AsyD2,0.0231958949865374,0.1382582115128841,1658.0,0.0124842273071408,470.7855310963881,agnews,0.00044038595331518564
2,AsyD1,0.0075500118498377,0.1068221080442475,3130.0,0.0213431250303983,109.4954356846473,xfact,0.004678959975502073
3,AsyD2,0.0165318234430005,0.0517313811855388,4029.0,0.0178175438195467,103.22655601659751,xfact,0.003452486012368314
4,AsyD1,1.648785240302247,1.861502343049865,3113.0,0.0156737435609102,2373.405701754386,factcheck,0.0024095132332925995
5,AsyD2,1.543992723169915,1.7843982691875586,3739.0,0.0248343180865049,2629.8318713450294,factcheck,0.0016045579375111477
6,AsyD1,0.1198982178907033,0.0791054991868356,1553.0,0.0141714718192815,113.24501827614668,AmazDigiMu,0.01840637963114871
7,AsyD2,0.1496648389433639,0.1856530008187005,2277.0,0.0189936440438032,80.27697205518217,AmazDigiMu,0.07868182880664935
8,AsyD1,0.0396324784732922,0.00499567128641,1000.0,0.0020311875268816,92.62175713974275,AmazPantry,0.002875964068763028
9,AsyD2,0.1206189627865454,0.0193699826710682,1366.0,0.0015697567723691,78.28885982123393,AmazPantry,0.005294150200283565
10,AsyD1,0.2322489499438402,0.2197805934216075,5786.0,0.0423729382455349,507.01932084309135,yelp,0.006919520713244044
11,AsyD2,0.2297299524582565,0.2508500297727498,6901.0,0.0401375703513622,494.4724824355972,yelp,0.006447416265807141
