,Domain,Bert F1,FRESH F1,KUMA F1,LSTM F1,AOPC_suff,AOPC_compr,Text_Simi,Rationales_Simi,Label distribution,Interquartile-Oldest,Median,Interquartile-Newest,InterTimeSpan(D),Oldest Date,Newest Date,TimeSpan(D),Data Num,TimeDensity,InterTimeDensity,TimeDiff
0,Full,0.702476913085834,0.663991265757884,0.489033050771741,0.606583549084265,,,,,"0    5279
1     700",2019-06-23,2019-12-17,2020-06-23,366,2019-01-13,2020-12-17,704,5979,8.492897727272727,8.168032786885245,0.0
1,InDomain,0.606537079640277,0.542774272294106,0.468663993637289,0.5920572763800781,0.7643411146461581,0.25172151049255503,0.0123434662818908,0.0043289111927151,"0    521
1     77",2019-05-19,2019-10-08,2020-03-24,310,2019-01-13,2020-08-19,584,598,1.023972602739726,0.964516129032258,0.5906542056074766
2,OOD1,0.6300989762355861,0.5497517787724681,0.474479568050558,0.581595477499205,0.767738545509503,0.23855863414920603,0.0110541656613349,0.003215123899281,"0    532
1     65",2020-08-19,2020-09-29,2020-09-29,41,2020-08-19,2020-10-19,61,597,9.78688524590164,7.280487804878049,2.7121495327102805
3,OOD2,0.600256765537968,0.523275431898072,0.497909320754004,0.5968239157608191,0.7665396162599971,0.226342529294686,0.0127653554081916,0.0053568789735436,"0    535
1     62",2020-11-10,2020-11-10,2020-12-17,37,2020-10-19,2020-12-17,59,597,10.11864406779661,8.067567567567568,3.097196261682243
4,In Domain Train,,,,,,,,,"0    3165
1     424",2019-05-25,2019-10-08,2020-03-24,304,2019-01-13,2020-08-19,584,3589,6.14554794520548,5.902960526315789,0.5794392523364486
