,Domain,Bert F1,Bert std,FRESH F1,FRESH std,KUMA F1,KUMA std,LSTM F1,LSTM std
0,Full size,0.702476913085834,0.025657581310202,0.663991265757884,0.010516098774499001,0.48903305077174103,0.023647292510678,0.606583549084265,0.02835495689369
1,InDomain,0.606537079640277,0.072992642930729,0.542774272294106,0.026892521270918002,0.46866399363728906,0.026281642525167,0.5920572763800781,0.023907621844996
2,OOD1,0.6300989762355861,0.067171330817908,0.5497517787724681,0.031874947949297,0.474479568050558,0.015554017244237002,0.581595477499205,0.02249583435244
3,OOD2,0.600256765537968,0.06787910990036,0.523275431898072,0.027220914794057003,0.497909320754004,0.015516137268941,0.5968239157608191,0.035741178902077
