,mean-acc,std-acc,mean-f1,std-f1,mean-ece,std-ece,Domain
model,0.9,0.005116073090561,0.702476913085834,0.025657581310202,0.017654987501858,0.0017840206755830002,Full size
model,0.882608695652173,0.007204233855698,0.606537079640277,0.072992642930729,0.027671948703236002,0.003401414786817,InDomain
model,0.907537688442211,0.007293648595335001,0.6300989762355861,0.067171330817908,0.018365412361458,0.007013291013154001,OOD1
model,0.904857621440536,0.0035769106371960004,0.600256765537968,0.06787910990036,0.021442807299807003,0.006569283414016001,OOD2
