,Domain,Bert F1,Bert std,FRESH F1,FRESH std,LSTM F1,LSTM std,KUMA F1,KUMA std,SPECTRA F1,SPECTRA std
0,Full,0.7441904566095,0.03209295741399,0.771093864638772,0.0042849998577360006,62.3906352942153,2.8917902753397002,47.2007345828817,1.7494131407827,50.668,5.30580059934408
1,SynD,0.710694963549325,0.018522744656805,0.7181524368971071,0.002346425063782,55.59913747465111,3.1905303673665,47.2007345828817,1.7494131407827,50.540000000000006,6.51115581137481
2,AsyD1,0.706456512772858,0.027055135334885003,0.7213067021974311,0.00037157588419300003,51.6818876355168,2.8099801573696,45.10117350497651,1.9209316028745,45.45199999999999,4.230640613429601
3,AsyD2,0.7352927405581821,0.016968216851146002,0.742433401580677,0.001288409093903,49.8310266846915,3.5993558357482005,42.336852139986405,2.0266867813212004,43.16599999999999,6.43093150328939
