,scaled attention,attention,deeplift,gradients,lime,ig,deepliftshap,gradientshap,scaled attention,attention,deeplift,gradients,lime,ig,deepliftshap,gradientshap
Full,2.004310717479776,1.7269157105512063,1.10129254714606,1.093213812662667,1.1907177617880935,1.1055271176838641,1.03263720218003,0.9840119854354967,4.665446029790673,3.4173374960930385,1.2632260373967146,2.2334523855183552,1.115000961747387,2.272919373748812,1.1038162256514852,1.0681708540717882
InDomain,2.425018523775108,2.173300447036675,1.0111155874397322,1.2454525647457941,,1.2756390788954155,1.0393874308035547,1.0384799988097881,3.5252647328564475,3.080911428530569,1.6491103589421903,2.237416322748683,,2.2637602196285362,1.2256209275753596,1.1069222800352698
OOD1,2.257999205308462,2.042900658405636,1.0131136488487658,1.191322168201318,,1.2301849106023484,1.0257595666286607,1.025777837000778,3.581886433108822,3.056291435748313,1.605852059703563,2.196869039779128,,2.218648956748643,1.1831937076380474,1.0590134236941557
OOD2,2.0284239080914066,1.8087161334605015,1.01161739951545,1.1679572970476353,,1.1796765045646178,1.0165875072788968,1.018205084940881,3.214801195747163,2.647699277179946,1.5636082149234962,2.0157235875707533,,2.0016724121874536,1.1736871871141232,1.0832281639656545
OOD1+2,2.143211556699934,1.925808395933069,1.012365524182108,1.1796397326244765,,1.204930707583483,1.0211735369537789,1.0219914609708294,3.3983438144279923,2.8519953564641294,1.5847301373135296,2.1062963136749406,,2.110160684468048,1.1784404473760852,1.071120793829905
