,Domain,Bert F1,FRESH F1,KUMA F1,LSTM F1,AOPC_suff,AOPC_compr,Text_Simi,Rationales_Simi,Label distribution,Interquartile-Oldest,Median,Interquartile-Newest,InterTimeSpan(D),Oldest Date,Newest Date,TimeSpan(D),Data Num,TimeDensity,InterTimeDensity,TimeDiff
0,Full,0.7441904566095,0.771093864638772,0.472007345828817,0.6239063529421529,,,,,"1    10257
0     2383",2014-10-24,2016-12-29,2018-12-21,1519,1995-09-25,2021-07-19,9429,12640,1.3405451267366635,4.160631994733377,0.0
1,InDomain,0.710694963549325,0.7181524368971071,0.4730505202314441,0.5559913747465111,0.535383985100938,0.607676520958333,0.0017909742891788485,0.004805415868759154,"1    1055
0     186",2013-10-25,2016-03-09,2017-06-05,1319,1996-08-02,2019-05-01,8307,1241,0.14939207896954376,0.4704321455648218,0.42838874680306893
2,OOD1,0.7064565127728578,0.7213067021974311,0.45170382944376697,0.516818876355168,0.546286870265928,0.6202972287168991,0.0138917975127697,0.015422992408275603,"1    1056
0     312",2019-08-20,2019-11-18,2020-02-18,182,2019-05-02,2020-05-15,379,1368,3.609498680738786,3.758241758241758,2.244976251370113
3,OOD2,0.7352927405581821,0.742433401580677,0.41917496989980196,0.498310266846915,0.5229730182909861,0.639073511449423,0.025972213596105576,0.0344097763299942,"1    923
0    445",2020-07-23,2020-10-12,2020-12-02,132,2020-05-15,2021-07-19,430,1368,3.181395348837209,5.181818181818182,2.4101205699671167
4,In Domain Train,,,,,,,,,"1    6205
0    1241",2013-10-08,2016-04-14,2017-09-14,1437,1995-09-25,2019-05-01,8619,7446,0.863905325443787,2.5908141962421714,0.3494702228717574
