,Domain,BERT ACC,BERT ACC,FRESH ACC,FRESH std,LSTM ACC,LSTM std,KUMA ACC,KUMA std,SPECTRA F1,SPECTRA std
0,Full,0.8594594594594591,0.012384262645740001,0.8615047479912341,0.002637760421514,80.9495982468955,1.3021054758309,79.53250547845141,1.4472700483337,50.668,5.30580059934408
1,SynD,0.866764061358656,0.005593627383221,0.874068663257852,0.000876552227903,83.30168005843682,0.6394760738711001,83.17019722425121,2.3681334600966,50.540000000000006,6.51115581137481
2,AsyD1,0.814766081871344,0.007935243710591,0.8219298245614031,0.0005847953216370001,76.09649122807011,0.5774391128108001,76.11111111111111,1.7460817107407,45.45199999999999,4.230640613429601
3,AsyD2,0.7865497076023391,0.005992368868982001,0.7915204678362571,0.0008524783471990001,68.46491228070171,0.6851096206935,66.8421052631578,1.2581596475994001,43.16599999999999,6.43093150328939
