,Domain,Bert F1,Bert std,FRESH F1,FRESH std,KUMA F1,KUMA std,LSTM F1,LSTM std
0,Full,0.7441904566095,0.03209295741399,0.771093864638772,0.0042849998577360006,0.47200734582881704,0.017494131407827,0.623906352942153,0.028917902753397003
1,InDomain,0.710694963549325,0.018522744656805,0.7181524368971071,0.002346425063782,0.47305052023144406,0.027435066240719,0.5559913747465111,0.031905303673665
2,OOD1,0.706456512772858,0.027055135334885003,0.7213067021974311,0.00037157588419300003,0.451703829443767,0.028991298768537004,0.516818876355168,0.028099801573696
3,OOD2,0.7352927405581821,0.016968216851146002,0.742433401580677,0.001288409093903,0.419174969899802,0.022921371661091,0.49831026684691504,0.035993558357482004
