,seed5,seed10,seed15,seed20,seed25,avg,std
0,0.4493,0.5389,0.4493,0.5372,0.5587,0.50668,0.053058005993440814
1,0.6004,0.4597,0.46,0.46,0.5469,0.5054000000000001,0.06511155811374815
2,0.4356,0.4356,0.4356,0.4356,0.5302,0.4545199999999999,0.04230640613429603
3,0.4029,0.4029,0.4029,0.4029,0.5467,0.43165999999999993,0.06430931503289394
