,Similarity,Representations,Measure,Rep_Mea,Domain,attribute_name,threshold
60,0.08785708796962147,Term distribution,jensen-shannon,Term jensen-shannon,OOD2,attention,topk
61,9.742330222400387,Term distribution,renyi,Term renyi,OOD2,attention,topk
62,0.019769027807995165,Term distribution,cosine,Term cosine,OOD2,attention,topk
63,0.029272705007303147,Term distribution,euclidean,Term euclidean,OOD2,attention,topk
64,0.48477595248524213,Term distribution,variational,Term variational,OOD2,attention,topk
65,0.11616689373703376,Term distribution,bhattacharyya,Term bhattacharyya,OOD2,attention,topk
66,0.027497561648488045,Topic distribution,jensen-shannon,Topic jensen-shannon,OOD2,attention,topk
67,0.11803623904727766,Topic distribution,renyi,Topic renyi,OOD2,attention,topk
68,0.07793760299682617,Topic distribution,cosine,Topic cosine,OOD2,attention,topk
69,0.10741880056684566,Topic distribution,euclidean,Topic euclidean,OOD2,attention,topk
70,0.3548922836780548,Topic distribution,variational,Topic variational,OOD2,attention,topk
71,0.028344284743070602,Topic distribution,bhattacharyya,Topic bhattacharyya,OOD2,attention,topk
72,0.05907175999156968,Term distribution,jensen-shannon,Term jensen-shannon,In Domain(Baseline),lime,topk
73,9.761551290550715,Term distribution,renyi,Term renyi,In Domain(Baseline),lime,topk
74,0.001783275848196375,Term distribution,cosine,Term cosine,In Domain(Baseline),lime,topk
75,0.006404599516400664,Term distribution,euclidean,Term euclidean,In Domain(Baseline),lime,topk
76,0.31565568114922155,Term distribution,variational,Term variational,In Domain(Baseline),lime,topk
77,0.08064273597732718,Term distribution,bhattacharyya,Term bhattacharyya,In Domain(Baseline),lime,topk
78,0.004161756485700607,Topic distribution,jensen-shannon,Topic jensen-shannon,In Domain(Baseline),lime,topk
79,0.016019326573945933,Topic distribution,renyi,Topic renyi,In Domain(Baseline),lime,topk
80,0.01943868398666382,Topic distribution,cosine,Topic cosine,In Domain(Baseline),lime,topk
81,0.035766506520052366,Topic distribution,euclidean,Topic euclidean,In Domain(Baseline),lime,topk
82,0.1595223844051361,Topic distribution,variational,Topic variational,In Domain(Baseline),lime,topk
83,0.004173033405095339,Topic distribution,bhattacharyya,Topic bhattacharyya,In Domain(Baseline),lime,topk
84,0.0848215753437457,Term distribution,jensen-shannon,Term jensen-shannon,OOD1,lime,topk
85,11.830754827135873,Term distribution,renyi,Term renyi,OOD1,lime,topk
86,0.0148642993968654,Term distribution,cosine,Term cosine,OOD1,lime,topk
87,0.02072693417319267,Term distribution,euclidean,Term euclidean,OOD1,lime,topk
88,0.4479270905141177,Term distribution,variational,Term variational,OOD1,lime,topk
89,0.11514445574884431,Term distribution,bhattacharyya,Term bhattacharyya,OOD1,lime,topk
90,0.013636643067002296,Topic distribution,jensen-shannon,Topic jensen-shannon,OOD1,lime,topk
91,0.05296222335523079,Topic distribution,renyi,Topic renyi,OOD1,lime,topk
92,0.07156223058700562,Topic distribution,cosine,Topic cosine,OOD1,lime,topk
93,0.07228473390314344,Topic distribution,euclidean,Topic euclidean,OOD1,lime,topk
94,0.26049184799194336,Topic distribution,variational,Topic variational,OOD1,lime,topk
95,0.013822700828313828,Topic distribution,bhattacharyya,Topic bhattacharyya,OOD1,lime,topk
96,0.0914553457521101,Term distribution,jensen-shannon,Term jensen-shannon,OOD2,lime,topk
97,12.33551734273073,Term distribution,renyi,Term renyi,OOD2,lime,topk
98,0.0234324168425315,Term distribution,cosine,Term cosine,OOD2,lime,topk
99,0.025963528938859354,Term distribution,euclidean,Term euclidean,OOD2,lime,topk
100,0.47506677958407467,Term distribution,variational,Term variational,OOD2,lime,topk
101,0.12435639964314953,Term distribution,bhattacharyya,Term bhattacharyya,OOD2,lime,topk
102,0.015359153039753437,Topic distribution,jensen-shannon,Topic jensen-shannon,OOD2,lime,topk
103,0.0595524930277226,Topic distribution,renyi,Topic renyi,OOD2,lime,topk
104,0.08057856559753418,Topic distribution,cosine,Topic cosine,OOD2,lime,topk
105,0.07761474730774595,Topic distribution,euclidean,Topic euclidean,OOD2,lime,topk
106,0.2585403025150299,Topic distribution,variational,Topic variational,OOD2,lime,topk
107,0.015617817640304565,Topic distribution,bhattacharyya,Topic bhattacharyya,OOD2,lime,topk
108,0.05746288390634176,Term distribution,jensen-shannon,Term jensen-shannon,In Domain(Baseline),deeplift,topk
109,9.237983702104462,Term distribution,renyi,Term renyi,In Domain(Baseline),deeplift,topk
110,0.003751165014450719,Term distribution,cosine,Term cosine,In Domain(Baseline),deeplift,topk
111,0.010157814217888585,Term distribution,euclidean,Term euclidean,In Domain(Baseline),deeplift,topk
